Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Author Keywords,Document Type,Publication Stage,Source,EID
"dos Santos Lima Junior G., Campos J.P., Monteiro C.M.D.O., Fiorotti J., Júnior F.E.A.C., Tomé A.L., Perinotto W.M.D.S.",57218546141;57218550860;57194282732;57200299440;57195675453;57218542850;13610639400;,Chemical composition and acaricidal activity of essential oils from fruits of Illicium verum and rhizomes of Curcuma zedoaria against Dermacentor nitens (Acari: Ixodidae),2020,Journal of Essential Oil Research,32,6,,571,576,,1,10.1080/10412905.2020.1804002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089541762&doi=10.1080%2f10412905.2020.1804002&partnerID=40&md5=55eacf51a1b62cb8f54ca1da0f3c551f,1; 8-cineole; Curcuma zedoaria; Dermacentor nitens; E-anethole; Illicium verum; tropical horse tick,Article,Final,Scopus,2-s2.0-85089541762
"Mahmoudi T., Lorigooini Z., Rafieian-Kopaei M., Arabi M., Rabiei Z., Bijad E., Kazemi S.",57219380128;57203410420;6506929448;56213195600;55308957000;57200094242;57062161000;,"Effect of Curcuma zedoaria hydro-alcoholic extract on learning, memory deficits and oxidative damage of brain tissue following seizures induced by pentylenetetrazole in rat",2020,Behavioral and Brain Functions,16,1,7,,,,,10.1186/s12993-020-00169-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092468902&doi=10.1186%2fs12993-020-00169-3&partnerID=40&md5=bfd6f9431a5613054eb086a1fa565ac8,Curcuma zedoaria; Memory; Oxidative stress; Pentylenetetrazole; Repeated seizures,Article,Final,Scopus,2-s2.0-85092468902
"Chun-Bin S., Yi Y., Qin-Yi W., Yang L., Jing-Ze Y., Hai-Jing X., Si-Qi Z., Jiong H., Jing W., Fei-Yu L., Jin-Yuan Y., Jia-Li Y., Yang Z.-S.",57217137383;57217136964;57217138868;57217139158;57217131614;57217128117;57217133492;57217128089;57217136603;57217135929;57217127874;57199894916;56171368400;,The main active components of Curcuma zedoaria reduces collagen deposition in human lung fibroblast via autophagy,2020,Molecular Immunology,124,,,109,116,,4,10.1016/j.molimm.2020.05.017,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086388870&doi=10.1016%2fj.molimm.2020.05.017&partnerID=40&md5=df2631bd9c744ac121fa9eee90da6419,Autophagy; Collagen deposition; Curcumin and curcumol; Fibroblast,Article,Final,Scopus,2-s2.0-85086388870
"Maran G.G., Lintangsari G., Aliyah A.N., Meiyanto E., Hermawan A.",57208509929;57219216917;57219215651;36114583200;47161155100;,The cytotoxicity and anti migratory effect of curcuma zedoaria essential oil on 4T1 breast cancer cells,2020,International Journal of Pharmaceutical Research,12,,,1046,1055,,,10.31838/ijpr/2020.SP2.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091717675&doi=10.31838%2fijpr%2f2020.SP2.002&partnerID=40&md5=78141f9180c90a22ec946b502b242831,4T1 breast cancer cells; Curcuma zedoaria essential oil; Metastasis; Migration,Article,Final,Scopus,2-s2.0-85091717675
"Zhang Y., Tan X., Tu X., Ling F., Wang G.",57215506711;57210208068;55637505400;25628221400;35726264400;,Efficacy and antiparasitic mechanism of curdione from Curcuma zedoaria against Gyrodactylus kobayashii in goldfish,2020,Aquaculture,523,,735186,,,,5,10.1016/j.aquaculture.2020.735186,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081003057&doi=10.1016%2fj.aquaculture.2020.735186&partnerID=40&md5=e81cff1fcba905709e7fb3346745c3eb,Curdione; Gyrodactylus kobayashii; Monogenean; Natural product,Article,Final,Scopus,2-s2.0-85081003057
"Jiang C.-X., Guo Y.-Q., Zhang S.-J., Cui Y., Li X.-X., Ren X.-Y., Li X.-K., Bao K.-D.",14627704200;57208776164;57218356121;57217643370;57217591237;57207691115;37761910800;57208775012;,Feasibility analysis of coronavirus disease 2019 co-treated by Zedoary Turmeric Oil Injection [莪术油注射液协同治疗新型冠状病毒肺炎(COVID-19)可行性浅析],2020,Chinese Traditional and Herbal Drugs,51,11,,3062,3069,,,10.7501/j.issn.0253-2670.2020.11.026,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087426560&doi=10.7501%2fj.issn.0253-2670.2020.11.026&partnerID=40&md5=d76dcea376e6087410454d70a53941a3,COVID-19; Pulmonary fibrosis; SARS-CoV-2; Zedoary turmeric oil; Zedoary Turmeric Oil Injection,Review,Final,Scopus,2-s2.0-85087426560
"Zhang G.-L., Xiao Z.-M., Yu X., Sun Y.-B., Fang R.-Z., Du L.-N., Jin Y.-G.",57217020022;57209854053;56677058800;55550789200;57209857651;52563373900;7404457420;,Comparative study of zedoary turmeric oil and curcumol dry powder inhalers for treatment of acute lung injury,2020,Yaoxue Xuebao,55,6,,1312,1319,,,10.16438/j.0513-4870.2020-0118,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097625207&doi=10.16438%2fj.0513-4870.2020-0118&partnerID=40&md5=8706031610af74ba87f53c887ef2d115,Acute lung injury; Curcumol; Dry powder inhaler; Lipopolysaccharide; Nanoemulsion; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-85097625207
"Yang B., Jiang J., Jiang L., Zheng P., Wang F., Zhou Y., Chen Z., Li M., Lian M., Tang S., Liu X., Peng H., Wang Q.",57214234809;57212453302;55805756800;57214218923;57200201136;57202705620;57212448190;57189379585;57205605215;56959695900;56096933100;23568330800;57161121900;,Chitosan mediated solid lipid nanoparticles for enhanced liver delivery of zedoary turmeric oil in vivo,2020,International Journal of Biological Macromolecules,149,,,108,115,,28,10.1016/j.ijbiomac.2020.01.222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078452919&doi=10.1016%2fj.ijbiomac.2020.01.222&partnerID=40&md5=d192b0dac4653ca8e7f62d6c927d7cf9,Chitosan; Lipid nanoparticle; Liver targeting accumulation; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-85078452919
"Li L., Xie Q., Bian G., Zhang B., Wang M., Wang Y., Chen Z., Li Y.",57208679717;56457293600;56797754100;56456805800;57214333405;57206997667;7409489957;23479852200;,Anti-H1N1 viral activity of three main active ingredients from zedoary oil,2020,Fitoterapia,142,,104489,,,,6,10.1016/j.fitote.2020.104489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078663734&doi=10.1016%2fj.fitote.2020.104489&partnerID=40&md5=e53f762087b9e7aa646bbb6e92a7738c,Anti-influenza virus; Curcumol; Curdione; Germacrone; Proteomics; TAP1,Article,Final,Scopus,2-s2.0-85078663734
"Jena S., Ray A., Sahoo A., Sahoo S., Dash B., Kar B., Nayak S.",57189049691;57189047121;57189045655;55866628800;7005185695;40761362600;56224283600;,Rapid plant regeneration in industrially important Curcuma zedoaria revealing genetic and biochemical fidelity of the regenerants,2020,3 Biotech,10,1,17,,,,7,10.1007/s13205-019-2009-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076349123&doi=10.1007%2fs13205-019-2009-9&partnerID=40&md5=b1570ef34a33ff9b332d253df9eb29ad,Curcuma zedoaria; Essential oil; GC–MS; Genetic fidelity; HPLC; Micropropagation,Article,Final,Scopus,2-s2.0-85076349123
"Fitriana N., Khairunnisa F.A., Rifa'i M., Widodo",57214220717;57204428089;8269391600;57190247745;,Potential compound of Curcuma xanthorrhiza and Curcuma zedoaria as Mortalin inhibitor to control cancer cell growth through computational study,2019,IOP Conference Series: Earth and Environmental Science,391,1,012032,,,,,10.1088/1755-1315/391/1/012032,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078451789&doi=10.1088%2f1755-1315%2f391%2f1%2f012032&partnerID=40&md5=965f9058bcbf720e0947a2f9800e54ef,anticancer; C. xanthorrhiza; C. zedoaria; Mortalin inhibitor,Conference Paper,Final,Scopus,2-s2.0-85078451789
"Sutthanont N., Attrapadung S., Nuchprayoon S.",36020936500;35770334000;6603522117;,Larvicidal activity of synthesized silver nanoparticles from curcuma zedoaria essential oil against culex quinquefasciatus,2019,Insects,10,1,A27,,,,22,10.3390/insects10010027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062241993&doi=10.3390%2finsects10010027&partnerID=40&md5=785643113b4fed32f9365749a6ecb753,Mosquito control; Plant-based insecticide; Silver nanoparticles; White turmeric; Zedoary,Article,Final,Scopus,2-s2.0-85062241993
"Jia J., Liu X., Wu K., Zhou X., Ge F.",55566392600;57209845791;57208693924;57204475715;7005868036;,Loading zedoary oil into pH-sensitive chitosan grafted mesoporous silica nanoparticles via gate-penetration by supercritical CO2 (GPS),2019,Journal of CO2 Utilization,33,,,12,20,,5,10.1016/j.jcou.2019.05.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065545953&doi=10.1016%2fj.jcou.2019.05.010&partnerID=40&md5=7fe0792057e309e76d4e8d1afa56ca4f,CO2; Drug loading; Gate-penetration; Stimuli-responsive; Zedoary oil,Article,Final,Scopus,2-s2.0-85065545953
"Lan T.T.P., Huy N.D., Luong N.N., Quang H.T., Tan T.H., Thu L.T.A., Huy N.X., Loc N.H.",57194009644;51261108100;57195502686;54930270900;57205242521;57208282378;34880068400;6602129044;,Effect of salicylic acid and yeast extract on curcuminoids biosynthesis gene expression and curcumin accumulation in cells of Curcuma zedoaria,2019,Journal of Plant Biotechnology,46,3,,172,179,,2,10.5010/JPB.2019.46.3.172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078946446&doi=10.5010%2fJPB.2019.46.3.172&partnerID=40&md5=c095eb3fa3b373ef3373f38d11a97af0,Curcuma zedoaria; Curcuminoid genes; Elicitor; Salicylic acid; Yeast extract,Article,Final,Scopus,2-s2.0-85078946446
"Angeline E., Susidarti R.A., Rohman A.",57041368900;8102182900;32668020600;,Rapid authentication of turmeric powder adulterated with Curcuma zedoaria and Curcuma xanthorrhiza using FTIR-ATR spectroscopy and chemometrics,2019,International Journal of Applied Pharmaceutics,11,5,,216,221,,3,10.22159/ijap.2019v11i5.33701,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073300409&doi=10.22159%2fijap.2019v11i5.33701&partnerID=40&md5=6999dd0c05eacb7adcfd5390b4e7c982,Chemometrics; Curcuma longa; Curcuma xanthorrhiza; Curcuma zedoaria; FTIR spectroscopy,Article,Final,Scopus,2-s2.0-85073300409
"Wang B., Liu F., Li Q., Xu S., Zhao X., Xue P., Feng X.",57203213225;57199430517;56465167100;55762413600;15926286300;57209002393;7403047346;,Antifungal activity of zedoary turmeric oil against Phytophthora capsici through damaging cell membrane,2019,Pesticide Biochemistry and Physiology,159,,,59,67,,20,10.1016/j.pestbp.2019.05.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066287017&doi=10.1016%2fj.pestbp.2019.05.014&partnerID=40&md5=f94bfd604e9c105a176c145764a393cb,Antifungal activity; Cell membrane injury; Essential oil; Phytophthora capsici; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-85066287017
"Lourembam R.M., Yadav A.S., Kundu G.C., Mazumder P.B.",57208878513;57197675592;7004520631;55843155200;,Curcuma zedoaria (christm.) roscoe inhibits proliferation of MDA-MB231 cells via caspase-cascade apoptosis,2019,Oriental Pharmacy and Experimental Medicine,19,3,,235,241,,4,10.1007/s13596-019-00374-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066035025&doi=10.1007%2fs13596-019-00374-0&partnerID=40&md5=cf6c424d94c17a2b321e5bf1b0d02d76,Anti-metastatic; Apoptosis; Bcl-2; Cleaved caspase-9; Curcuma Zedoaria; Cytochrome C; MDA-MB231,Article,Final,Scopus,2-s2.0-85066035025
"Lee T.K., Lee D., Lee S.R., Ko Y.-J., Sung Kang K., Chung S.J., Kim K.H.",57192921301;56096709400;56803983800;7401678340;8963300800;23491702400;56341223100;,Sesquiterpenes from Curcuma zedoaria rhizomes and their cytotoxicity against human gastric cancer AGS cells,2019,Bioorganic Chemistry,87,,,117,122,,13,10.1016/j.bioorg.2019.03.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062850734&doi=10.1016%2fj.bioorg.2019.03.015&partnerID=40&md5=88f6861375d4116d48992746b1ae2ee4,Curcuma zedoaria; Cytotoxicity; Gastric cancer; NMR; Sesquiterpenes,Article,Final,Scopus,2-s2.0-85062850734
"Cui H., Zhang B., Li G., Li L., Chen H., Qi J., Liu W., Chen J., Wang P., Lei H.",56591268700;57211546356;57209180985;57209180284;57209174840;57209177623;57195586854;57196108284;55229761900;7202480671;,Identification of a quality marker of vinegar-processed Curcuma zedoaria on oxidative liver injury,2019,Molecules,24,11,2073,,,,5,10.3390/molecules24112073,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066758414&doi=10.3390%2fmolecules24112073&partnerID=40&md5=cad192c64769699726235890d52777d4,Curcuma zedoaria; Discriminatory components; GC-MS metabolomics; Hepatoprotective activity; Quality marker,Article,Final,Scopus,2-s2.0-85066758414
"Wang G.R., Wang H.",56403581400;57204556589;,Cell suspension culture of Rhizoma zedoariae in a two-stage perfusion bioreactor system for β-elemene production,2019,In Vitro Cellular and Developmental Biology - Plant,55,2,,209,220,,1,10.1007/s11627-018-9943-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056109690&doi=10.1007%2fs11627-018-9943-9&partnerID=40&md5=561bf7f8bf373f5ae3aa20c3be18bde4,Bioreactor; Cell culture; Rhizoma zedoariae; Secondary metabolism; β-Elemene,Article,Final,Scopus,2-s2.0-85056109690
"Huang Y., Xue C., He W., Zhao X.",56244340400;57208351010;57208351528;56224070100;,Inhibition effect of zedoary turmeric oil on Listeria monocytogenes and staphylococcus aureus growth and exotoxin proteins production,2019,Journal of Medical Microbiology,68,4,,657,666,,8,10.1099/jmm.0.000949,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064579093&doi=10.1099%2fjmm.0.000949&partnerID=40&md5=7e7a695f987e0d9914dc9443c4c4194b,Essential oil composition; Listeria monocytogenes; Staphylococcus aureus; Virulence factors; Zedoary turmeric oil,Article,Final,Scopus,2-s2.0-85064579093
"Riaz T., Abbasi M.A., Aziz-ur-Rehman, Shazadi T., Shahid M.",35752455000;7004042601;35311779500;57207302403;57217073784;,"Assessment of Fumaria indica, Dicliptera bupleuroides and Curcuma zedoaria for their antimicrobial and hemolytic effects",2019,Pakistan Journal of Pharmaceutical Sciences,32,2,,697,702,,2,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062430638&partnerID=40&md5=5a7821f1946c0168abdda2d3ce7a81c6,Antibacterial potential; Antifungal; Curcuma zedoaria; Dicliptera bupleuroides; Disc diffusion method; Fumaria indica; Hemolytic effects,Article,Final,Scopus,2-s2.0-85062430638
"Lee T.K., Trinh T.A., Lee S.R., Kim S., So H.M., Moon E., Hwang G.S., Kang K.S., Kim J.H., Yamabe N., Kim K.H.",57192921301;57197719134;56803983800;57195056012;57195058705;35077791000;7202676061;8963300800;57203990182;8147992000;56341223100;,Bioactivity-based analysis and chemical characterization of anti-inflammatory compounds from Curcuma zedoaria rhizomes using LPS-stimulated RAW264.7 cells,2019,Bioorganic Chemistry,82,,,26,32,,14,10.1016/j.bioorg.2018.09.027,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053884711&doi=10.1016%2fj.bioorg.2018.09.027&partnerID=40&md5=4a4650f2dad90fdc046016806bc23cfb,Anti-inflammation; Curcuma zedoaria; Curcuzedoalide; Nitric oxide; Zingiberaceae,Article,Final,Scopus,2-s2.0-85053884711
"Tan X., Xu M., Liu F., Xu M., Yao Y., Tang D.",57206198615;57209269169;57206186331;57209269209;57198503980;7401987043;,Antimetastasis Effect of Astragalus membranaceus-Curcuma zedoaria via β-Catenin Mediated CXCR4 and EMT Signaling Pathway in HCT116,2019,Evidence-based Complementary and Alternative Medicine,2019,,9692350,,,,7,10.1155/2019/9692350,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067132018&doi=10.1155%2f2019%2f9692350&partnerID=40&md5=f7411b52183c8a0b3c7cf1197c74b538,,Article,Final,Scopus,2-s2.0-85067132018
"Ayati Z., Ramezani M., Amiri M.S., Moghadam A.T., Rahimi H., Abdollahzade A., Sahebkar A., Emami S.A.",55569117200;55630797000;55912705300;57205882269;57209844632;57209844901;26639699900;8504960800;,"Ethnobotany, phytochemistry and traditional uses of curcuma spp. and pharmacological profile of two important species (C. longa and C. zedoaria): A Review",2019,Current Pharmaceutical Design,25,8,,871,935,,26,10.2174/1381612825666190402163940,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066736181&doi=10.2174%2f1381612825666190402163940&partnerID=40&md5=c0fa4467d345c90d9f1570d38f12ccba,Curcuma; Curcuma longa; Curcuma zedoaria; Curcumin; Liver protection; Turmeric; Zingiberaceae,Article,Final,Scopus,2-s2.0-85066736181
"Anuchapreeda S., Khumpirapang N., Chiampanichayakul S., Nirachonkul W., Saiai A., Usuki T., Okonogi S.",6505877761;57192837675;6507781137;57205327450;6507402637;7005584512;57211773161;,Characterization and biological properties of zederone and zedoarondiol from rhizomes of En-lueang (Curcuma cf. Amada),2018,Natural Product Communications,13,12,,1615,1618,,2,10.1177/1934578x1801301211,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059587246&doi=10.1177%2f1934578x1801301211&partnerID=40&md5=3effbb48ab09b9f3d7834871c3c080fc,Antihemolysis; Antileukemia; Antioxidant; Curcuma cf. amada Roxb; En-Lueang; Extraction,Article,Final,Scopus,2-s2.0-85059587246
"Zhou W., Wang J., Zhao Y., Yu L., Fang Y., Jin H., Zhou H., Zhang P., Liu Y., Zhang X., Liang X.",56733888700;56152317900;12762598100;55428817100;7403457226;55817896100;57193868138;57207033621;55742132900;57196399006;8709335800;,Discovery of β2- adrenoceptor agonists in Curcuma zedoaria Rosc using label-free cell phenotypic assay combined with two-dimensional liquid chromatography,2018,Journal of Chromatography A,1577,,,59,65,,6,10.1016/j.chroma.2018.09.053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054429505&doi=10.1016%2fj.chroma.2018.09.053&partnerID=40&md5=643a52ede5bb924ef32306189cedf058,Curcuma zedoaria Rosc; Diarylheptanoids; Label-free cell phenotypic assay; Two-dimensional liquid chromatography; β2-adrenoceptor agonists,Article,Final,Scopus,2-s2.0-85054429505
"Indrawati I., Rossiana N., Diresna D.S.",57190938150;57190934596;57204636065;,"Bioprospecting of Bacterial Endophytes from Curcuma aeruginosa, Curcuma xanthorrhiza and Curcuma zedoariaas Antibacterial Against Pathogenic Bacteria",2018,IOP Conference Series: Earth and Environmental Science,197,1,012009,,,,2,10.1088/1755-1315/197/1/012009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056469503&doi=10.1088%2f1755-1315%2f197%2f1%2f012009&partnerID=40&md5=f807ecb7b0f9a087f7a48bd96ed678b7,antibacterial; C. aeruginosa; C. xanthorrhiza; C. zedoa; Endophytic bacteria,Conference Paper,Final,Scopus,2-s2.0-85056469503
"Tungcharoen P., Wattanapiromsakul C., Tansakul P., Nakamura S., Matsuda H., Tewtrakul S.",25936877800;9278387800;14623412400;13405755300;35475236100;6507898316;,Antiinflammation constituents from Curcuma zedoaroides,2018,Phytotherapy Research,32,11,,2312,2320,,3,10.1002/ptr.6173,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052398715&doi=10.1002%2fptr.6173&partnerID=40&md5=20d5defa0459bb2ad1d9618c638c9baa,antiinflammation; Curcuma zedoaroides; diarylheptanoid; guaiane sesquiterpene lactones,Article,Final,Scopus,2-s2.0-85052398715
"Xu N., Wang L., Guan J., Tang C., He N., Zhang W., Fu S.",57197837629;57197830941;55531020900;57206948499;57197212786;57206984745;57196086189;,Wound healing effects of a Curcuma zedoaria polysaccharide with platelet-rich plasma exosomes assembled on chitosan/silk hydrogel sponge in a diabetic rat model,2018,International Journal of Biological Macromolecules,117,,,102,107,,42,10.1016/j.ijbiomac.2018.05.066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054301154&doi=10.1016%2fj.ijbiomac.2018.05.066&partnerID=40&md5=97df3418a289785ccb0b08a30dfcf5b7,Curcuma zedoaria polysaccharide; Diabetic wound healing; Platelet-rich plasma exosomes (PRP-Exos),Article,Final,Scopus,2-s2.0-85054301154
"Jeong Ha S., Song K.-M., Lee J., Ho Kim Y., Hyouck Lee N., Eon Kim Y., Lee S., Keun Jung S.",57203586413;56404945700;56970755700;57204403934;57203591717;57203585788;14056188000;56489205600;,Preventive effect of Curcuma zedoaria extract on UVB-induced skin inflammation and photoaging,2018,Journal of Food Biochemistry,42,5,e12598,,,,3,10.1111/jfbc.12598,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052376822&doi=10.1111%2fjfbc.12598&partnerID=40&md5=6fcaf6c5b4489f7f998fdbc464b5c17e,Curcuma zedoaria extract; cyclooxygenase-2; epidermal growth factor receptor; matrix metalloproteinase-13; mitogen-activated protein kinase,Article,Final,Scopus,2-s2.0-85052376822
